code,name,name_slugs,name_trans,province
M383,Alta Valle Intelvi,alta-valle-intelvi,Alta Valle Intelvi,CO
A225,Altamura,altamura,Altamura,BA
A226,Altare,altare,Altare,GE
A226,Altare,altare,Altare,SV
A226,Altare,altare,Altare,SV
A226,Altare,altare,Altare,SV
M349,Altavalle,altavalle,Altavalle,TN
A228,Altavilla Irpina,altavilla-irpina,Altavilla Irpina,AV
A229,Altavilla Milicia,altavilla-milicia,Altavilla Milicia,PA
A227,Altavilla Monferrato,altavilla-monferrato,Altavilla Monferrato,AL
A230,Altavilla Silentina,altavilla-silentina,Altavilla Silentina,SA
A231,Altavilla Vicentina,altavilla-vicentina,Altavilla Vicentina,VI
A233,Altidona,altidona,Altidona,AP
A233,Altidona,altidona,Altidona,FM
A234,Altilia,altilia,Altilia,CS
A234,Altilia,altilia,Altilia,CS
A235,Altino,altino,Altino,CH
A236,Altissimo,altissimo,Altissimo,VI
A237,Altivole,altivole,Altivole,TV
A238,Alto,alto,Alto,CN
M369,Alto Reno Terme,alto-reno-terme,Alto Reno Terme,BO
M389,Alto Sermenza,alto-sermenza,Alto Sermenza,VC
A239,Altofonte,altofonte,Altofonte,PA
A240,Altomonte,altomonte,Altomonte,CS
A241,Altopascio,altopascio,Altopascio,LU
A241,Altopascio,altopascio,Altopascio,LU
M350,Altopiano Della Vigolana,altopiano-della-vigolana,Altopiano Della Vigolana,TN
A242,Alviano,alviano,Alviano,PG
A242,Alviano,alviano,Alviano,TR
A243,Alvignano,alvignano,Alvignano,CE
A243,Alvignano,alvignano,Alvignano,BN
A243,Alvignano,alvignano,Alvignano,CE
A244,Alvito,alvito,Alvito,CE
A244,Alvito,alvito,Alvito,FR
A245,Alzano,alzano,Alzano,AL
A246,Alzano Lombardo,alzano-lombardo,Alzano Lombardo,BG
A246,Alzano Lombardo,alzano-lombardo,Alzano Lombardo,BG
A246,Alzano Lombardo,alzano-lombardo,Alzano Lombardo,BG
A247,Alzano Maggiore,alzano-maggiore,Alzano Maggiore,BG
A245,Alzano Scrivia,alzano-scrivia,Alzano Scrivia,AL
A245,Alzano Scrivia,alzano-scrivia,Alzano Scrivia,AL
A248,Alzano Sopra,alzano-sopra,Alzano Sopra,BG
A249,Alzate Brianza,alzate-brianza,Alzate Brianza,CO
A249,Alzate Brianza,alzate-brianza,Alzate Brianza,CO
A250,Alzate Con Linduno,alzate-con-linduno,Alzate Con Linduno,NO
A249,Alzate Con Verzago,alzate-con-verzago,Alzate Con Verzago,CO
A115,Alà Dei Sardi,ala-dei-sardi,Ala' Dei Sardi,SS
A115,Alà Dei Sardi,ala-dei-sardi,Ala' Dei Sardi,OT
A115,Alà Dei Sardi,ala-dei-sardi,Ala' Dei Sardi,SS
A194,Alì,ali,Ali',ME
A194,Alì,ali,Ali',ME
A194,Alì,ali,Ali',ME
A194,Alì,ali,Ali',ME
A201,Alì Marina,ali-marina,Ali' Marina,ME
A201,Alì Marina,ali-marina,Ali' Marina,ME
A201,Alì Terme,ali-terme,Ali' Terme,ME
A251,Amalfi,amalfi,Amalfi,SA
A251,Amalfi,amalfi,Amalfi,SA
A251,Amalfi,amalfi,Amalfi,SA
A251,Amalfi,amalfi,Amalfi,SA
A252,Amandola,amandola,Amandola,AP
A252,Amandola,amandola,Amandola,FM
A253,Amantea,amantea,Amantea,CS
A253,Amantea,amantea,Amantea,CS
A253,Amantea,amantea,Amantea,CS
A254,Amaro,amaro,Amaro,UD
A254,Amaro,amaro,Amaro,UD
A255,Amaroni,amaroni,Amaroni,CZ
A256,Amaseno,amaseno,Amaseno,RM
A256,Amaseno,amaseno,Amaseno,FR
A257,Amato,amato,Amato,CZ
A258,Amatrice,amatrice,Amatrice,AQ
A258,Amatrice,amatrice,Amatrice,RI
A259,Ambivere,ambivere,Ambivere,BG
A260,Amblar,amblar,Amblar,TN
A260,Amblar,amblar,Amblar,TN
A260,Amblar,amblar,Amblar,TN
M351,Amblar-Don,amblar-don,Amblar-Don,TN
A261,Ameglia,ameglia,Ameglia,GE
A261,Ameglia,ameglia,Ameglia,SP
A261,Ameglia,ameglia,Ameglia,SP
A261,Ameglia,ameglia,Ameglia,SP
A262,Amelia,amelia,Amelia,PG
A262,Amelia,amelia,Amelia,TR
A263,Amendolara,amendolara,Amendolara,CS
A264,Ameno,ameno,Ameno,NO
A265,Amorosi,amorosi,Amorosi,BN
A267,Ampezzo,ampezzo,Ampezzo,UD
A266,Ampezzo,ampezzo,Ampezzo,BL
A266,Ampezzo,ampezzo,Ampezzo,BL
A267,Ampezzo,ampezzo,Ampezzo,UD
A268,Anacapri,anacapri,Anacapri,NA
A268,Anacapri,anacapri,Anacapri,NA
A269,Anagni,anagni,Anagni,RM
A269,Anagni,anagni,Anagni,FR
A270,Ancarano,ancarano,Ancarano,TE
A271,Ancona,ancona,Ancona,AN
A271,Ancona,ancona,Ancona,AN
A271,Ancona,ancona,Ancona,AN
A271,Ancona,ancona,Ancona,AN
A272,Andali,andali,Andali,CZ
A272,Andali,andali,Andali,CZ
A273,Andalo,andalo,Andalo,SO
A274,Andalo,andalo,Andalo,TN
A274,Andalo,andalo,Andalo,TN
A274,Andalo,andalo,Andalo,TN
A273,Andalo Valtellino,andalo-valtellino,Andalo Valtellino,SO
A275,Andezeno,andezeno,Andezeno,TO
A276,Andogno,andogno,Andogno,TN
A276,Andogno,andogno,Andogno,TN
A277,Andonno,andonno,Andonno,CN
A278,Andora,andora,Andora,GE
A278,Andora,andora,Andora,SV
A279,Andorno Cacciorna,andorno-cacciorna,Andorno Cacciorna,NO
A279,Andorno Cacciorna,andorno-cacciorna,Andorno Cacciorna,VC
A280,Andorno Micca,andorno-micca,Andorno Micca,VC
A280,Andorno Micca,andorno-micca,Andorno Micca,VC
A280,Andorno Micca,andorno-micca,Andorno Micca,VC
A280,Andorno Micca,andorno-micca,Andorno Micca,BI
A281,Andrano,andrano,Andrano,LE
A282,Andrate,andrate,Andrate,TO
A282,Andrate,andrate,Andrate,AO
A282,Andrate,andrate,Andrate,AO
A282,Andrate,andrate,Andrate,TO
A282,Andrate,andrate,Andrate,TO
A283,Andreis,andreis,Andreis,UD
A283,Andreis,andreis,Andreis,PN
A284,Andretta,andretta,Andretta,AV
A285,Andria,andria,Andria,BA
